% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,bad,ok}
@data
1, 0.19585, 0.003390312, 0.005508602, 0, 0.7177388,85.7287,100.1817,37.49242,58.56065,25.22537,74.94201,125.49,84.90716,132.5147,83.62903,?
1, 0.2910852, 0.03129494, 0.00456816, 0.9438088, 0.7295473,99.74638,113.3248,40.33062,45.23867,35.76434,120.8872,129.1685,130.8772,136.2345,14.21745,?
1, 0.2900533, 0, 0.0003128648, 0.7530342, 0.7104251,111.3004,122.5213,40.29291,43.31908,32.14799,132.8122,134.0047,142.0214,139.9768,14.42712,?
1, 0.3409534, 0.2373773, 0.284612, 0.2473743, 0.2696456,64.82685,73.45456,85.54038,89.94019,18.64169,41.07802,62.679,26.65192,52.02648,28.00349,?
1, 0.09955728, 0.5143267, 0.8246055, 0.8183651, 0.8221471,24.36607,65.28207,76.62717,83.44279,55.30664,65.65571,72.34363,14.17783,28.31731,15.57008,?
1, 0.0941596, 0.3676642, 0.8261908, 0.8258634, 0.8299011,21.48253,63.97588,75.57091,82.80209,66.3684,76.65694,82.67992,14.45129,28.77375,15.67295,?
1, 0.09684104, 0.5422832, 0.8249032, 0.8251239, 0.8291668,27.81132,65.40332,77.25082,84.86901,49.56856,60.42057,68.08041,14.38092,28.6823,15.64634,?
1, 0.1030527, 0.5003454, 0.8248506, 0.8248688, 0.8287325,22.55772,63.91099,75.53573,82.89764,56.05002,66.69034,73.71143,14.41889,28.75391,15.66519,?
1, 0.1038503, 0.5607876, 0.8251162, 0.8253527, 0.8292744,25.5644,64.29337,75.96607,83.50062,49.79658,60.62151,68.31084,14.36997,28.72968,15.66874,?
1, 0.09897423, 0.4471087, 0.8256561, 0.825709, 0.828868,21.15926,63.43822,75.16153,82.56731,60.43834,71.0317,77.6628,14.51813,28.8564,15.67308,?
